page_number,extracted_urls
3,/-/es/Port%C3%A1til-Inspiron-procesador-c%C3%A1mara-Bluetooth/dp/B08HY7KWJ6
3,/-/es/MJVM2LL-pulgadas-Graphics-reacondicionamiento-certificado/dp/B01KIIQUFW
3,/-/es/Ordenador-ordenador-generaci%C3%B3n-i5-1035G1-Bluetooth/dp/B082MSPDL8
3,/-/es/ASUS-VivoBook-port%C3%A1til-delgado-ligero/dp/B086QZSLDH
3,/-/es/XDGJH-cr-Dell-Chromebook-3120-Negro/dp/B07HMJY8NR
4,/-/es/HP-800-G1-rendimiento-Professional/dp/B07NL4CT8L
4,/-/es/procesador-gr%C3%A1ficos-huellas-digitales-retroiluminado/dp/B087N4ZRXV
4,/-/es/Lenovo-IdeaPad-ComputerAMD-A6-9220e-Microsoft/dp/B081GMHQLR
4,/-/es/Ultrabook-ThinkPad-generaci%C3%B3n-procesador-i7-10510U/dp/B08FRNCPXF
4,/-/es/HP-Pavilion-videojuegos-memoria-GeForce/dp/B08P6MRZBG
4,/-/es/pulgadas-Celeron-Windows-pantalla-Expansi%C3%B3n/dp/B0821ZJBF8
4,/-/es/A315-56-594/dp/B08K3NGK2Z
4,/-/es/port%C3%A1til-14-pulgadas-Celeron-Windows-Personal/dp/B084SKWC89
4,/-/es/15-cs3019nr-Pavilion-pulgadas-Intel-mineral/dp/B085B63QYR
4,/-/es/ASUS-Laptop-ZenBook-Ultra-Slim/dp/B08KH53NKR
4,/-/es/Latitude-E5470-Business-i5-6300U-tarjetas/dp/B07D5N1PFY
4,/-/es/pantalla-t%C3%A1ctil-Microsoft-Surface-2-10-5/dp/B086QQNRT4
4,/-/es/ePaper-Android-frontal-sensor-digital/dp/B08H83GCBT
4,/-/es/Tablet-Microsoft-Surface-pantalla-memoria/dp/B07YNJ5L9Y
4,/-/es/pulgadas-Bluetooth-educaci%C3%B3n-parental-preinstalado/dp/B07RW4ZY39
4,/-/es/IdeaCentre-Procesador-Graphics-Bluetooth-90NT000US/dp/B089N6C6W2
